,Місяць,Рис,Хліб пшеничний з борошна вищого ґатунку,Хліб пшеничний з борошна першого ґатунку,"Хліб житній, житньо-пшеничний",Батон,Макаронні вироби з м’яких сортів пшениці,Борошно пшеничне,Крупи манні,Крупи гречані,Крупи ячні,Пшоно,Крупи пшеничні,Яловичина,Свинина,Птиця (тушки курячі),Філе куряче,Ковбаси варені першого ґатунку,Риба морожена,"Молоко пастеризоване жирністю до 2,6% включно",Сири м’які жирні,Сметана жирністю до 15% включно,Яйця,Масло вершкове,Олія соняшникова,Сало,Яблука,Капуста білокачанна,Цибуля ріпчаста,Буряк,Морква,Картопля,Цукор,Молочні суміші для дитячого харчування,Горілка,Вина столові вітчизняні,Пиво вітчизняних марок,Сигарети з фільтром вітчизняних марок,Сигарети з фільтром медіум класу,Сигарети з фільтром преміум класу,Сигарети без фільтру,Плата за оренду 1-кімнатної квартири,Антибіотики вітчизняні,Антибіотики імпортні,Судинорозширювальні засоби вітчизняні,Судинорозширювальні засоби імпортні,Жарознижувальні та знеболювальні препарати вітчизняні,Жарознижувальні та знеболювальні препарати імпортні,Стоматологічні послуги,Бензин А-92,Бензин А-95,Дизельне пальне,Газ скраплений для автомобілів,Проїзд у міському транспорті,Дошкільна освіта,Послуги у сфері страхування особистого транспорту
432,2024-03-01,51.48,44.89,36.38,37.54,23.28,29.96,15.68,21.88,27.36,15.4,24.68,16.6,263.97,177.13,87.89,159.66,167.19,165.43,38.98,185.06,108.2,41.54,78.61,57.27,169.88,23.83,14.0,16.75,16.92,12.78,22.73,30.66,143.94,117.41,110.04,31.65,76.96,84.86,101.41,,6850.7,54.22,200.33,15.76,72.12,21.61,28.46,1013.76,48.97,52.28,52.46,27.88,9.16,54.31,1950.68
433,2024-04-01,51.53,45.31,36.64,37.67,23.43,29.94,15.52,21.86,26.36,15.31,24.37,16.42,266.1,177.48,88.03,158.9,169.26,168.5,39.41,186.29,110.18,33.45,79.5,57.84,167.55,24.59,13.22,16.03,17.8,12.06,22.45,29.92,144.88,115.87,109.97,31.92,77.41,85.92,103.14,,6879.83,54.7,207.26,16.03,72.8,22.21,28.93,1028.71,51.08,54.44,54.34,27.96,9.31,54.35,1999.68
434,2024-05-01,51.98,45.76,36.76,37.95,23.63,29.84,15.56,21.91,26.83,15.31,24.14,16.34,268.23,179.35,89.28,159.83,171.47,170.7,38.65,185.93,110.08,28.55,79.92,57.98,164.87,25.56,16.34,25.93,25.52,16.61,24.53,30.07,146.21,115.75,109.18,31.93,78.45,87.14,104.72,,6942.29,55.59,215.84,16.23,73.43,22.56,29.3,1040.95,51.96,55.89,53.33,26.92,9.31,54.55,2061.44
435,2024-06-01,52.32,46.36,37.09,38.37,23.98,29.8,15.95,22.27,28.26,15.61,24.3,16.93,269.24,175.91,87.35,158.04,171.88,173.93,38.73,187.58,110.24,32.97,80.53,58.76,161.09,26.9,11.28,24.36,32.92,29.75,28.39,31.04,147.34,115.4,111.18,31.96,79.95,88.71,106.07,,6931.77,56.1,219.08,16.3,74.26,22.52,29.11,1053.43,52.65,56.3,52.65,26.54,9.35,54.84,2095.1
436,2024-07-01,53.14,47.54,38.35,39.95,24.6,30.16,16.52,22.51,29.67,16.28,24.62,17.75,270.01,177.47,86.76,158.62,170.85,174.13,39.01,188.06,110.49,29.28,81.14,60.45,160.1,27.83,12.75,14.8,20.32,22.37,20.08,34.78,147.54,115.1,112.06,32.61,81.57,89.96,107.01,,6915.83,56.46,220.65,16.33,75.15,22.53,29.17,1057.75,53.14,56.57,52.79,26.87,9.49,54.97,2089.13
437,2024-08-01,53.82,48.5,39.59,40.93,25.39,31.35,17.21,22.66,29.6,17.02,24.26,17.95,270.56,182.0,86.79,162.86,173.94,173.96,39.4,189.01,112.39,31.44,82.1,61.52,160.58,28.33,30.31,16.32,14.39,15.46,19.73,35.66,148.99,116.83,110.47,32.56,84.14,90.76,108.33,,6961.82,57.54,225.32,16.34,76.0,22.61,29.44,1064.8,53.03,56.62,52.92,28.07,9.62,54.99,2104.05
438,2024-09-01,54.37,48.94,40.03,41.76,26.0,32.6,18.15,23.24,29.79,17.78,24.25,18.23,273.8,182.74,90.95,168.26,172.6,175.55,40.13,193.94,116.48,35.27,84.99,62.97,161.36,26.47,28.01,15.61,14.21,16.65,20.67,35.09,146.52,116.52,110.41,33.22,86.76,93.5,110.81,,7098.0,58.7,226.85,16.52,77.5,22.92,29.24,1101.92,53.34,56.65,52.87,30.84,9.73,56.43,2101.6
439,2024-10-01,55.23,49.9,40.81,42.67,26.26,32.88,18.66,23.98,30.98,18.76,24.67,18.8,279.76,183.61,92.22,170.31,178.24,178.69,41.62,201.24,119.61,41.78,91.51,65.02,163.89,30.31,29.73,16.37,16.35,21.52,25.85,33.55,148.52,116.98,112.93,33.59,89.52,96.16,113.69,,7148.91,60.09,229.59,16.69,78.54,23.37,29.77,1115.56,53.3,56.44,52.58,34.16,9.73,56.63,2137.91
440,2024-11-01,55.65,50.98,41.29,43.81,26.94,33.33,19.21,25.15,33.4,19.01,25.35,19.22,284.53,183.31,92.38,170.97,175.75,180.59,43.71,209.35,124.99,65.05,96.81,68.6,165.85,33.92,30.46,17.13,17.79,26.98,29.79,33.12,147.94,116.93,113.46,33.86,91.15,98.28,116.1,,7202.56,61.76,232.86,16.8,78.64,23.91,30.1,1125.05,52.84,55.56,52.09,35.02,9.73,56.7,2166.97
441,2024-12-01,56.11,51.91,42.52,45.12,27.78,33.77,19.93,26.31,35.19,19.9,25.41,20.18,288.73,184.76,92.55,172.42,180.64,184.57,45.64,217.36,130.85,64.24,102.23,72.73,166.19,35.22,34.02,17.12,19.65,28.59,29.74,33.16,148.54,116.45,113.87,34.0,92.62,101.8,118.69,,7219.57,63.16,247.09,17.18,79.49,24.95,31.2,1161.36,52.6,55.45,52.24,35.43,10.26,56.78,2188.78
